Elevation,Geometric,Optical,APT,Turbulence,Atmospheric
-16.3709334824816,0,0.0883305866544727,0.597589834349612,0,0.972268904695349
-16.4101146334002,0,0.0883305866544727,0.597589834349612,0,0.972263930088509
-16.449277897098,0,0.0883305866544727,0.597589834349612,0,0.972258957752708
-16.4884233350777,0,0.0883305866544727,0.597589834349612,0,0.972253987680136
-16.5275510571997,0,0.0883305866544727,0.597589834349612,0,0.972249019856845
-16.5666610271635,0,0.0883305866544727,0.597589834349612,0,0.972244054287444
-16.6057533543588,0,0.0883305866544727,0.597589834349612,0,0.972239090958045
-16.6448280992547,0,0.0883305866544727,0.597589834349612,0,0.97223412986097
-16.6838853220652,0,0.0883305866544727,0.597589834349612,0,0.972229170988574
-16.7229250827505,0,0.0883305866544727,0.597589834349612,0,0.972224214333244
-16.7619474410161,0,0.0883305866544727,0.597589834349612,0,0.9722192598874
-16.800952456318,0,0.0883305866544727,0.597589834349612,0,0.972214307643493
-16.8399402361257,0,0.0883305866544727,0.597589834349612,0,0.972209357587878
-16.8789107428184,0,0.0883305866544727,0.597589834349612,0,0.972204409725332
-16.9178640834109,0,0.0883305866544727,0.597589834349612,0,0.972199464042267
-16.9568003163614,0,0.0883305866544727,0.597589834349612,0,0.972194520531262
-16.9957194998814,0,0.0883305866544727,0.597589834349612,0,0.972189579184926
-17.0346216919369,0,0.0883305866544727,0.597589834349612,0,0.972184639995899
-17.0735069502496,0,0.0883305866544727,0.597589834349612,0,0.972179702956852
-17.1123753802623,0,0.0883305866544727,0.597589834349612,0,0.972174768054399
-17.15122694324,0,0.0883305866544727,0.597589834349612,0,0.972169835293457
-17.1900617441843,0,0.0883305866544727,0.597589834349612,0,0.972164904660694
-17.2288798398515,0,0.0883305866544727,0.597589834349612,0,0.972159976148905
-17.2676812867562,0,0.0883305866544727,0.597589834349612,0,0.972155049750914
-17.3064661411766,0,0.0883305866544727,0.597589834349612,0,0.972150125459576
-17.3452344591535,0,0.0883305866544727,0.597589834349612,0,0.972145203267775
-17.3839863441618,0,0.0883305866544727,0.597589834349612,0,0.972140283162375
-17.4227217563913,0,0.0883305866544727,0.597589834349612,0,0.97213536514843
-17.461440798888,0,0.0883305866544727,0.597589834349612,0,0.972130449212856
-17.500143526757,0,0.0883305866544727,0.597589834349612,0,0.972125535348656
-17.5388299948699,0,0.0883305866544727,0.597589834349612,0,0.972120623548866
-17.5775002578667,0,0.0883305866544727,0.597589834349612,0,0.972115713806546
-17.6161543701587,0,0.0883305866544727,0.597589834349612,0,0.972110806114789
-17.6547923859293,0,0.0883305866544727,0.597589834349612,0,0.972105900466715
-17.6934144064749,0,0.0883305866544727,0.597589834349612,0,0.972100996849464
-17.7320203907991,0,0.0883305866544727,0.597589834349612,0,0.97209609526824
-17.7706104397869,0,0.0883305866544727,0.597589834349612,0,0.972091195710234
-17.809184606716,0,0.0883305866544727,0.597589834349612,0,0.972086298168683
-17.8477429446404,0,0.0883305866544727,0.597589834349612,0,0.97208140263685
-17.8862855063916,0,0.0883305866544727,0.597589834349612,0,0.972076509108028
-17.9248123445791,0,0.0883305866544727,0.597589834349612,0,0.972071617575537
-17.9633235586543,0,0.0883305866544727,0.597589834349612,0,0.972066728026749
-18.0018191066221,0,0.0883305866544727,0.597589834349612,0,0.972061840466999
-18.040299087535,0,0.0883305866544727,0.597589834349612,0,0.972056954883708
-18.0787635531255,0,0.0883305866544727,0.597589834349612,0,0.972052071270309
-18.1172125549096,0,0.0883305866544727,0.597589834349612,0,0.972047189620261
-18.1556461441873,0,0.0883305866544727,0.597589834349612,0,0.972042309927051
-18.1940643720436,0,0.0883305866544727,0.597589834349612,0,0.972037432184192
-18.2324672893499,0,0.0883305866544727,0.597589834349612,0,0.972032556385227
-18.2708549935148,0,0.0883305866544727,0.597589834349612,0,0.972027682517788
-18.3092274414447,0,0.0883305866544727,0.597589834349612,0,0.972022810587345
-18.3475847301654,0,0.0883305866544727,0.597589834349612,0,0.972017940581581
-18.3859269097003,0,0.0883305866544727,0.597589834349612,0,0.972013072494143
-18.4242540298661,0,0.0883305866544727,0.597589834349612,0,0.972008206318708
-18.4625661402697,0,0.0883305866544727,0.597589834349612,0,0.972003342048977
-18.5008632903132,0,0.0883305866544727,0.597589834349612,0,0.971998479678676
-18.5391455756731,0,0.0883305866544727,0.597589834349612,0,0.97199361919566
-18.5774129523327,0,0.0883305866544727,0.597589834349612,0,0.971988760605516
-18.6156655155975,0,0.0883305866544727,0.597589834349612,0,0.971983903896145
-18.6539033140488,0,0.0883305866544727,0.597589834349612,0,0.971979049061377
-18.6921263960642,0,0.0883305866544727,0.597589834349612,0,0.971974196095071
-18.7303348098191,0,0.0883305866544727,0.597589834349612,0,0.97196934499111
-18.7685286032884,0,0.0883305866544727,0.597589834349612,0,0.971964495743404
-18.8067078242486,0,0.0883305866544727,0.597589834349612,0,0.971959648345886
-18.8448725664613,0,0.0883305866544727,0.597589834349612,0,0.971954802786651
-18.8830227848948,0,0.0883305866544727,0.597589834349612,0,0.971949959071418
-18.9211585729531,0,0.0883305866544727,0.597589834349612,0,0.971945117188327
-18.9592799776206,0,0.0883305866544727,0.597589834349612,0,0.971940277131413
-18.9973870456865,0,0.0883305866544727,0.597589834349612,0,0.971935438894735
-19.0354798237435,0,0.0883305866544727,0.597589834349612,0,0.971930602472378
-19.0735583581933,0,0.0883305866544727,0.597589834349612,0,0.971925767858451
-19.1116227411766,0,0.0883305866544727,0.597589834349612,0,0.971920935041254
-19.1496729268063,0,0.0883305866544727,0.597589834349612,0,0.971916104026614
